uid,narration_id
1677,P01_09_660
1806,P01_09_789
6921,P01_19_14
6953,P01_19_46
7686,P02_04_98
18975,P03_12_2
19414,P03_13_0
19415,P03_13_1
19418,P03_13_4
19420,P03_13_6
19440,P03_14_5
19684,P03_19_131
19697,P03_19_144
29777,P05_03_93
29929,P05_05_22
29931,P05_05_24
29932,P05_05_25
37385,P09_02_6
37386,P09_02_7
37438,P09_02_59
37534,P09_05_34
37535,P09_05_35
39294,P11_05_63
57013,P22_14_24
70115,P28_02_15
70118,P28_02_18
70119,P28_02_19
70121,P28_02_21
70123,P28_02_23
70125,P28_02_25
70201,P28_02_101
70205,P28_02_105
70215,P28_02_115
70326,P28_03_70
70337,P28_03_81
70338,P28_03_82
70339,P28_03_83
70385,P28_03_129
70390,P28_03_134
70392,P28_03_136
70393,P28_03_137
70403,P28_03_147
70405,P28_03_149
70420,P28_04_10
70421,P28_04_11
70422,P28_04_12
70423,P28_04_13
70424,P28_04_14
70425,P28_04_15
70444,P28_04_34
70445,P28_04_35
70456,P28_04_46
70458,P28_04_48
70465,P28_04_55
70466,P28_04_56
70467,P28_04_57
70494,P28_04_84
70559,P28_05_59
70562,P28_05_62
70566,P28_05_66
70567,P28_05_67
70568,P28_05_68
70569,P28_05_69
70570,P28_05_70
70571,P28_05_71
70572,P28_05_72
70573,P28_05_73
70575,P28_05_75
70588,P28_06_12
70589,P28_06_13
70590,P28_06_14
70591,P28_06_15
70681,P28_06_105
70682,P28_06_106
70684,P28_06_108
70685,P28_06_109
70686,P28_06_110
70687,P28_06_111
70689,P28_06_113
70690,P28_06_114
70694,P28_06_118
70773,P28_08_31
70784,P28_08_42
70785,P28_08_43
70809,P28_08_67
70822,P28_08_80
70824,P28_08_82
70865,P28_09_37
70867,P28_09_39
70945,P28_09_117
70947,P28_09_119
70948,P28_09_120
70949,P28_09_121
70950,P28_09_122
70951,P28_09_123
70952,P28_09_124
70955,P28_09_127
70961,P28_10_2
70975,P28_10_16
71987,P28_11_30
71988,P28_11_31
72000,P28_11_43
72010,P28_11_53
72012,P28_11_55
72013,P28_11_56
73280,P28_14_3
73281,P28_14_4
73283,P28_14_6
73284,P28_14_7
73317,P28_14_40
76051,P30_05_283
76271,P30_05_503
76494,P30_05_726
76495,P30_05_727
76503,P30_05_735
76506,P30_05_738
77288,P30_10_11
