video_id,duration,fps,resolution
P01_01,1652.152817,59.9400599400599,1920x1080
P01_02,502.134967,59.9400599400599,1920x1080
P01_03,118.85206699999999,59.9400599400599,1920x1080
P01_04,105.23846699999999,59.9400599400599,1920x1080
P01_05,1271.988033,59.9400599400599,1920x1080
P01_06,492.22506699999997,59.9400599400599,1920x1080
P01_07,161.394567,59.9400599400599,1920x1080
P01_08,98.965533,59.9400599400599,1920x1080
P01_09,3571.06815,59.9400599400599,1920x1080
P01_10,139.0389,59.9400599400599,1920x1080
P01_11,561.527633,59.9400599400599,1920x1080
P01_12,173.806967,59.9400599400599,1920x1080
P01_13,93.760333,59.9400599400599,1920x1080
P01_14,1352.585217,59.9400599400599,1920x1080
P01_15,924.957367,59.9400599400599,1920x1080
P01_16,174.62445,59.9400599400599,1920x1080
P01_17,1153.119283,59.9400599400599,1920x1080
P01_18,3692.672967,59.9400599400599,1920x1080
P01_19,477.9775,59.9400599400599,1920x1080
P01_101,1831.46,50.0,1920x1080
P01_102,274.92,50.0,1920x1080
P01_103,178.02,50.0,1920x1080
P01_104,245.64,50.0,1920x1080
P01_105,2120.36,50.0,1920x1080
P01_106,723.38,50.0,1920x1080
P01_107,119.44,50.0,1920x1080
P01_108,139.9,50.0,1920x1080
P01_109,3708.04,50.0,1920x1080
P02_01,232.98275,59.9400599400599,1920x1080
P02_02,207.040167,59.9400599400599,1920x1080
P02_03,1252.184917,59.9400599400599,1920x1080
P02_04,422.388633,59.9400599400599,1920x1080
P02_05,18.551867,59.9400599400599,1920x1080
P02_06,1035.551183,59.9400599400599,1920x1080
P02_07,108.57513300000001,59.9400599400599,1920x1080
P02_08,66.9669,59.9400599400599,1920x1080
P02_09,2199.849967,59.9400599400599,1920x1080
P02_10,48.7487,59.9400599400599,1920x1080
P02_11,54.08736700000001,59.9400599400599,1920x1080
P02_12,1315.333,59.9400599400599,1920x1080
P02_13,29.512817,59.9400599400599,1920x1080
P02_14,32.198833,59.9400599400599,1920x1080
P02_15,94.02726700000001,59.9400599400599,1920x1080
P02_101,243.72,50.0,1920x1080
P02_102,227.08,50.0,1920x1080
P02_103,122.16,50.0,1920x1080
P02_104,567.18,50.0,1920x1080
P02_105,410.38,50.0,1920x1080
P02_106,64.34,50.0,1920x1080
P02_107,121.46,50.0,1920x1080
P02_108,1291.64,50.0,1920x1080
P02_109,912.58,50.0,1920x1080
P02_110,179.24,50.0,1920x1080
P02_111,52.58,50.0,1920x1080
P02_112,1182.62,50.0,1920x1080
P02_113,448.7,50.0,1920x1080
P02_114,35.7,50.0,1920x1080
P02_115,106.5,50.0,1920x1080
P02_116,68.38,50.0,1920x1080
P02_117,348.38,50.0,1920x1080
P02_118,776.46,50.0,1920x1080
P02_119,91.98,50.0,1920x1080
P02_120,738.42,50.0,1920x1080
P02_121,393.12,50.0,1920x1080
P02_122,767.3,50.0,1920x1080
P02_123,1398.34,50.0,1920x1080
P02_124,231.84,50.0,1920x1080
P02_125,656.44,50.0,1920x1080
P02_126,148.72,50.0,1920x1080
P02_127,26.34,50.0,1920x1080
P02_128,135.24,50.0,1920x1080
P02_129,1113.34,50.0,1920x1080
P02_130,1083.46,50.0,1920x1080
P02_131,674.9,50.0,1920x1080
P02_132,227.08,50.0,1920x1080
P02_133,80.44,50.0,1920x1080
P02_134,26.92,50.0,1920x1080
P02_135,261.18,50.0,1920x1080
P02_136,391.86,50.0,1920x1080
P02_137,1166.42,50.0,1920x1080
P03_02,426.609517,59.9400599400599,1920x1080
P03_03,70.987583,59.9400599400599,1920x1080
P03_04,1670.754733,59.9400599400599,1920x1080
P03_05,224.3241,59.9400599400599,1920x1080
P03_06,109.12568300000001,59.9400599400599,1920x1080
P03_07,107.2071,59.9400599400599,1920x1080
P03_08,29.4294,59.9400599400599,1920x1080
P03_09,626.042083,59.9400599400599,1920x1080
P03_10,102.76933299999999,59.9400599400599,1920x1080
P03_11,52.635917000000006,59.9400599400599,1920x1080
P03_12,21.57155,59.9400599400599,1920x1080
P03_13,55.97258299999999,59.9400599400599,1920x1080
P03_14,260.076483,59.9400599400599,1920x1080
P03_15,10.477133,59.9400599400599,1920x1080
P03_16,271.688083,59.9400599400599,1920x1080
P03_17,148.8487,59.9400599400599,1920x1080
P03_18,24.2242,59.9400599400599,1920x1080
P03_19,550.3498,59.9400599400599,1920x1080
P03_20,360.61025,59.9400599400599,1920x1080
P03_21,31.898533,59.9400599400599,1920x1080
P03_22,61.34461700000001,59.9400599400599,1920x1080
P03_23,509.642467,59.9400599400599,1920x1080
P03_24,821.787633,59.9400599400599,1920x1080
P03_25,37.18715,59.9400599400599,1920x1080
P03_26,11.127783,59.9400599400599,1920x1080
P03_27,97.14705,59.9400599400599,1920x1080
P03_28,85.53545,59.9400599400599,1920x1080
P03_101,852.96,50.0,1920x1080
P03_102,168.8,50.0,1920x1080
P03_103,1668.32,50.0,1920x1080
P03_104,411.16,50.0,1920x1080
P03_105,205.36,50.0,1920x1080
P03_106,89.02,50.0,1920x1080
P03_107,254.48,50.0,1920x1080
P03_108,42.72,50.0,1920x1080
P03_109,1134.06,50.0,1920x1080
P03_110,18.1,50.0,1920x1080
P03_111,74.32,50.0,1920x1080
P03_112,507.96,50.0,1920x1080
P03_113,148.32,50.0,1920x1080
P03_114,27.64,50.0,1920x1080
P03_115,22.22,50.0,1920x1080
P03_116,57.3,50.0,1920x1080
P03_117,722.86,50.0,1920x1080
P03_118,126.12,50.0,1920x1080
P03_119,672.38,50.0,1920x1080
P03_120,814.68,50.0,1920x1080
P03_121,388.34,50.0,1920x1080
P03_122,38.12,50.0,1920x1080
P03_123,319.14,50.0,1920x1080
P04_01,1154.7726,59.9400599400599,1920x1080
P04_02,1437.621833,59.9400599400599,1920x1080
P04_03,801.817683,59.9400599400599,1920x1080
P04_04,858.140617,59.9400599400599,1920x1080
P04_05,2068.700617,59.9400599400599,1920x1080
P04_06,788.254133,59.9400599400599,1920x1080
P04_07,122.956167,59.9400599400599,1920x1080
P04_08,82.6826,59.9400599400599,1920x1080
P04_09,411.377633,59.9400599400599,1920x1080
P04_10,1141.7596,59.9400599400599,1920x1080
P04_11,241.357783,59.9400599400599,1920x1080
P04_12,160.62713300000001,59.9400599400599,1920x1080
P04_13,314.26395,59.9400599400599,1920x1080
P04_14,87.70428299999999,59.9400599400599,1920x1080
P04_15,24.858167,59.9400599400599,1920x1080
P04_16,217.03348300000002,59.9400599400599,1920x1080
P04_17,147.780967,59.9400599400599,1920x1080
P04_18,124.79133300000001,59.9400599400599,1920x1080
P04_19,15.5155,59.9400599400599,1920x1080
P04_20,92.14205,59.9400599400599,1920x1080
P04_21,197.14695,59.9400599400599,1920x1080
P04_22,171.3712,59.9400599400599,1920x1080
P04_23,998.64765,59.9400599400599,1920x1080
P04_24,502.05155,59.9400599400599,1920x1080
P04_25,381.51446699999997,59.9400599400599,1920x1080
P04_26,36.88685,59.9400599400599,1920x1080
P04_27,104.821383,59.9400599400599,1920x1080
P04_28,158.491667,59.9400599400599,1920x1080
P04_29,425.408317,59.9400599400599,1920x1080
P04_30,312.695717,59.9400599400599,1920x1080
P04_31,825.4579669999999,59.9400599400599,1920x1080
P04_32,53.536817000000006,59.9400599400599,1920x1080
P04_33,184.100583,59.9400599400599,1920x1080
P04_101,549.48,50.0,1920x1080
P04_102,155.32,50.0,1920x1080
P04_103,67.22,50.0,1920x1080
P04_104,684.7,50.0,1920x1080
P04_105,1882.4,50.0,1920x1080
P04_106,253.3,50.0,1920x1080
P04_107,1483.72,50.0,1920x1080
P04_108,179.64,50.0,1920x1080
P04_109,980.54,50.0,1920x1080
P04_110,722.36,50.0,1920x1080
P04_111,155.08,50.0,1920x1080
P04_112,491.22,50.0,1920x1080
P04_113,1182.46,50.0,1920x1080
P04_114,160.04,50.0,1920x1080
P04_115,258.3,50.0,1920x1080
P04_116,573.64,50.0,1920x1080
P04_117,335.08,50.0,1920x1080
P04_118,148.6,50.0,1920x1080
P04_119,851.02,50.0,1920x1080
P04_120,834.62,50.0,1920x1080
P04_121,1693.22,50.0,1920x1080
P04_122,222.88,50.0,1920x1080
P04_123,1301.32,50.0,1920x1080
P05_01,365.7654,59.9400599400599,1920x1080
P05_02,338.454783,59.9400599400599,1920x1080
P05_03,1033.165467,59.9400599400599,1920x1080
P05_04,388.421367,59.9400599400599,1920x1080
P05_05,155.67218300000002,59.9400599400599,1920x1080
P05_06,310.943967,59.9400599400599,1920x1080
P05_07,801.867733,59.9400599400599,1920x1080
