narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_01_0,P01,P01_01,00:00:01.089,00:00:00.14,00:00:03.37,8,202,open door,open,3,door,3,['door'],[3]
P01_01_1,P01,P01_01,00:00:02.629,00:00:04.37,00:00:06.17,262,370,turn on light,turn-on,6,light,114,['light'],[114]
P01_01_10,P01,P01_01,00:00:23.340,00:00:24.97,00:00:26.20,1498,1572,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_100,P01,P01_01,00:07:57.919,00:07:59.75,00:08:00.88,28785,28852,take cup,take,0,cup,13,['cup'],[13]
P01_01_101,P01,P01_01,00:08:00.020,00:08:01.47,00:08:02.21,28888,28932,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_102,P01,P01_01,00:08:01.229,00:08:02.13,00:08:03.00,28927,28980,put cup into cupboard,put-into,5,cup,13,"['cup', 'cupboard']","[13, 3]"
P01_01_103,P01,P01_01,00:08:03.919,00:08:05.22,00:08:07.21,29113,29232,take container and lid,take,0,container,21,"['container', 'lid']","[21, 6]"
P01_01_104,P01,P01_01,00:08:07.610,00:08:08.38,00:08:09.12,29302,29347,put container on top of counter,put-on,1,container,21,"['container', 'top:counter']","[21, 42]"
P01_01_105,P01,P01_01,00:08:09.860,00:08:12.00,00:08:12.74,29520,29564,open container,open,3,container,21,['container'],[21]
P01_01_106,P01,P01_01,00:08:12.900,00:08:13.22,00:08:14.37,29593,29662,put container inside container,put-inside,5,container,21,"['container', 'container']","[21, 21]"
P01_01_107,P01,P01_01,00:08:14.550,00:08:15.80,00:08:16.99,29748,29819,close lid,close,4,lid,6,['lid'],[6]
P01_01_108,P01,P01_01,00:08:18.039,00:08:19.64,00:08:20.60,29978,30036,put container in cupboard,put-in,5,container,21,"['container', 'cupboard']","[21, 3]"
P01_01_109,P01,P01_01,00:08:21.050,00:08:22.35,00:08:23.31,30141,30198,take plate,take,0,plate,2,['plate'],[2]
P01_01_11,P01,P01_01,00:00:27.960,00:00:29.22,00:00:31.32,1753,1879,close fridge,close,4,fridge,12,['fridge'],[12]
P01_01_110,P01,P01_01,00:08:25.669,00:08:24.66,00:08:27.92,30279,30475,put plate down,put-down,1,plate,2,['plate'],[2]
P01_01_111,P01,P01_01,00:08:26.759,00:08:28.16,00:08:29.94,30489,30596,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_112,P01,P01_01,00:08:29.879,00:08:29.29,00:08:31.54,30557,30692,take something,take,0,drawer,8,['drawer'],[8]
P01_01_113,P01,P01_01,00:08:32.200,00:08:32.66,00:08:34.43,30759,30865,put down something,put-down,1,drawer,8,['drawer'],[8]
P01_01_114,P01,P01_01,00:08:35.200,00:08:36.81,00:08:38.05,31008,31082,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_115,P01,P01_01,00:08:36.460,00:08:37.88,00:08:39.13,31072,31147,take fork,take,0,fork,14,['fork'],[14]
P01_01_116,P01,P01_01,00:08:37.650,00:08:39.34,00:08:40.25,31160,31215,put down fork,put-down,1,fork,14,['fork'],[14]
P01_01_117,P01,P01_01,00:08:39.140,00:08:41.19,00:08:42.08,31271,31324,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_118,P01,P01_01,00:08:40.730,00:08:41.92,00:08:48.56,31315,31713,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_12,P01,P01_01,00:00:29.539,00:00:36.68,00:00:37.78,2200,2266,put down vegetables,put-down,1,vegetable,94,['vegetable'],[94]
P01_01_120,P01,P01_01,00:09:00.560,00:09:02.04,00:09:02.98,32522,32578,take container,take,0,container,21,['container'],[21]
P01_01_121,P01,P01_01,00:09:04.130,00:09:06.39,00:09:07.42,32783,32845,open fridge,open,3,fridge,12,['fridge'],[12]
P01_01_122,P01,P01_01,00:09:05.270,00:09:07.40,00:09:09.01,32844,32940,put container into fridge,put-into,5,container,21,"['container', 'fridge']","[21, 12]"
P01_01_123,P01,P01_01,00:09:07.270,00:09:09.28,00:09:10.03,32956,33001,close fridge,close,4,fridge,12,['fridge'],[12]
P01_01_124,P01,P01_01,00:09:11.520,00:09:13.41,00:09:14.49,33204,33269,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_125,P01,P01_01,00:09:12.520,00:09:14.66,00:09:18.50,33279,33510,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_126,P01,P01_01,00:09:19.440,00:09:21.12,00:09:22.32,33667,33739,take grater,take,0,grater,96,['grater'],[96]
P01_01_127,P01,P01_01,00:09:30.260,00:09:21.12,00:09:22.52,33667,33751,take grater,take,0,grater,96,['grater'],[96]
P01_01_128,P01,P01_01,00:09:20.670,00:09:22.08,00:09:22.81,33724,33768,take carrots,take,0,carrot,41,['carrot'],[41]
P01_01_129,P01,P01_01,00:09:23.250,00:09:24.25,00:09:28.84,33855,34130,cut carrots,cut,7,carrot,41,['carrot'],[41]
P01_01_13,P01,P01_01,00:00:39.780,00:00:41.79,00:00:42.55,2507,2553,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_130,P01,P01_01,00:09:24.250,00:09:29.18,00:09:31.02,34150,34261,drop grater,drop,59,grater,96,['grater'],[96]
