narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame
P01_102_0,P01,P01_102,00:00:01.100,00:00:00.54,00:00:02.23,27,111
P01_102_1,P01,P01_102,00:00:07.600,00:00:07.49,00:00:09.05,374,452
P01_102_10,P01,P01_102,00:00:29.851,00:00:29.66,00:00:30.84,1483,1542
P01_102_100,P01,P01_102,00:03:44.600,00:03:44.45,00:03:45.00,11222,11250
P01_102_101,P01,P01_102,00:03:45.600,00:03:45.61,00:03:46.01,11280,11300
P01_102_102,P01,P01_102,00:03:46.851,00:03:46.06,00:03:46.56,11303,11328
P01_102_103,P01,P01_102,00:03:48.600,00:03:46.71,00:03:47.76,11335,11388
P01_102_104,P01,P01_102,00:03:50.100,00:03:48.21,00:03:49.21,11410,11460
P01_102_105,P01,P01_102,00:03:51.101,00:03:49.91,00:03:54.30,11495,11715
P01_102_106,P01,P01_102,00:03:55.350,00:03:55.22,00:03:55.74,11761,11787
P01_102_107,P01,P01_102,00:03:57.350,00:03:56.60,00:03:57.60,11830,11880
P01_102_108,P01,P01_102,00:03:57.851,00:03:57.80,00:03:58.95,11890,11947
P01_102_109,P01,P01_102,00:03:59.850,00:03:59.64,00:04:00.35,11982,12017
P01_102_11,P01,P01_102,00:00:30.850,00:00:30.91,00:00:37.32,1545,1866
P01_102_110,P01,P01_102,00:04:00.850,00:04:00.26,00:04:01.24,12013,12062
P01_102_111,P01,P01_102,00:04:01.600,00:04:01.20,00:04:02.20,12060,12110
P01_102_112,P01,P01_102,00:04:02.350,00:04:02.21,00:04:02.81,12110,12140
P01_102_113,P01,P01_102,00:04:03.350,00:04:02.88,00:04:09.79,12144,12489
P01_102_114,P01,P01_102,00:04:05.851,00:04:03.55,00:04:09.93,12177,12496
P01_102_115,P01,P01_102,00:04:10.102,00:04:10.19,00:04:11.54,12509,12577
P01_102_116,P01,P01_102,00:04:14.350,00:04:13.94,00:04:24.75,12697,13237
P01_102_117,P01,P01_102,00:04:15.850,00:04:14.69,00:04:21.46,12734,13072
P01_102_118,P01,P01_102,00:04:19.100,00:04:15.60,00:04:21.60,12780,13080
P01_102_119,P01,P01_102,00:04:22.100,00:04:21.70,00:04:22.80,13085,13140
P01_102_12,P01,P01_102,00:00:37.350,00:00:37.38,00:00:37.80,1869,1889
P01_102_120,P01,P01_102,00:04:23.602,00:04:23.61,00:04:24.82,13180,13241
P01_102_121,P01,P01_102,00:04:24.851,00:04:24.00,00:04:25.30,13200,13265
P01_102_122,P01,P01_102,00:04:27.100,00:04:25.30,00:04:29.37,13265,13468
P01_102_123,P01,P01_102,00:04:29.101,00:04:29.39,00:04:30.69,13469,13534
P01_102_124,P01,P01_102,00:04:30.100,00:04:30.05,00:04:31.49,13502,13574
P01_102_125,P01,P01_102,00:04:31.100,00:04:30.85,00:04:32.10,13542,13605
P01_102_126,P01,P01_102,00:04:32.100,00:04:32.10,00:04:33.05,13605,13652
P01_102_13,P01,P01_102,00:00:37.850,00:00:37.56,00:00:38.58,1878,1929
P01_102_14,P01,P01_102,00:00:38.850,00:00:38.54,00:00:41.68,1927,2084
P01_102_15,P01,P01_102,00:00:41.600,00:00:41.73,00:00:42.16,2086,2108
P01_102_16,P01,P01_102,00:00:42.600,00:00:42.26,00:00:43.40,2113,2170
P01_102_17,P01,P01_102,00:00:43.350,00:00:43.32,00:00:43.83,2166,2191
P01_102_18,P01,P01_102,00:00:44.350,00:00:43.93,00:00:44.71,2196,2235
P01_102_19,P01,P01_102,00:00:45.600,00:00:45.49,00:00:50.92,2274,2546
P01_102_2,P01,P01_102,00:00:10.350,00:00:09.66,00:00:10.84,483,542
P01_102_20,P01,P01_102,00:00:51.601,00:00:51.41,00:00:54.30,2570,2715
P01_102_21,P01,P01_102,00:00:54.850,00:00:54.67,00:00:55.40,2733,2770
P01_102_22,P01,P01_102,00:00:55.100,00:00:55.14,00:00:55.40,2757,2770
P01_102_23,P01,P01_102,00:00:55.850,00:00:55.45,00:00:56.12,2772,2806
P01_102_24,P01,P01_102,00:00:56.101,00:00:56.09,00:00:56.64,2804,2832
P01_102_25,P01,P01_102,00:00:57.600,00:00:57.76,00:01:05.06,2888,3253
P01_102_26,P01,P01_102,00:01:06.101,00:01:05.24,00:01:08.52,3261,3426
P01_102_27,P01,P01_102,00:01:08.100,00:01:08.09,00:01:08.64,3404,3432
P01_102_28,P01,P01_102,00:01:09.100,00:01:09.22,00:01:10.17,3461,3508
P01_102_29,P01,P01_102,00:01:10.600,00:01:10.19,00:01:11.12,3509,3556
