id,key,instances,category
0,tap,"['tap', 'tap:water', 'water:tap', 'flow:tap', 'tab', 'tap:hot']",appliances
1,spoon,"['spoon', 'spoon:wooden', 'spoon:using', 'teaspoon', 'risotto:spoon', 'spade', 'spade:food', 'spoon:coffee', 'spoon:tea', 'measure', 'stirrer:coffee', 'scoop', 'stirrer', 'tablespoon', 'spoon:dessert', 'spoon:sieve', 'spoon:sugar', 'spoon:olive', 'spoon:yeast', 'spoon:soup', 'spoon:slotted', 'spoon:measuring', 'stirrer:wooden', 'back:teaspoon', 'end:teaspoon', 'coffee:scoop', 'spoon:wash', 'spoon:second', 'spoon:wood', 'spoon:plastic', 'spoon:soap', 'fork:spoon', 'knife:teaspoon:fork', 'spade:plastic', 'paddle:rice', 'stick:wooden', 'tablespoon:place', 'teaspoon:honey']",cutlery
2,plate,"['plate', 'plate:pasta', 'saucer', 'dish', 'plate:salad', 'plate:lasagna', 'food:plate', 'flatware', 'pate', 'plate:scale', 'plate:glass', 'plate:broccoli', 'edge:plate', 'stack:plate', 'centre:plate', 'top:plate', 'side:plate', 'content:plate', 'plate:small', 'plate:paper', 'plate:cereal', 'plate:new', 'plate:other', 'plate:food', 'plate:tomato', 'plate:nut', 'plate:lasagne', 'plate:soap', 'plate:top', 'dish:dirty', 'dish:meat', 'dish:tortilla', 'front:plate', 'saucer:soap']",crockery
3,cupboard,"['cupboard', 'cabinet', 'locker', 'flap', 'door', 'door:cabinet', 'door:cupboard', 'closet', 'top:cupboard', 'content:cupboard', 'cupboard:open', 'handle:cupboard', 'cage']",storage
4,knife,"['knife', 'knife:mincing', 'knife:using', 'blade', 'chopper', 'knife:mezzaluna', 'chopper:moon', 'mezzaluna', 'side:blade', 'angle:blade', 'knife:chef', 'knife:small', 'blade:chopping', 'blade:peeler', 'knife:bread', 'blade:knife', 'knife:paring', 'knife:spreading', 'knife:thin', 'knife:take', 'knife:wash', 'knife:soap', 'fork:knife', 'handle:knife', 'sharpness:knife', 'side:knife', 'chopper:half:moon']",cutlery
5,pan,"['pan', 'pan:sauce', 'pan:frying', 'saucepan', 'saucepan:empty', 'saucepan:small', 'wok', 'wok:scour', 'pan:content', 'pan:cast:iron', 'pan:chilli', 'pan:uncover', 'pan:first', 'saucepan:large', 'pan:grill', 'pan:second', 'iron:cast', 'bottom:pan', 'bottom:saucepan', 'top:saucepan', 'side:wok', 'side:pan', 'top:pan', 'side:saucepan', 'content:pan', 'pan:oil', 'pan:cooking', 'pan:cooker', 'pan:serving', 'pan:hob', 'pan:pizza', 'pan:fry', 'pan:garlic', 'pan:rolling', 'pan:small', 'pan:wash', 'pane']",cookware
6,lid,"['lid', 'lid:pot', 'lid:tin', 'lid:saucepan', 'lid:tupperware', 'lid:box', 'lid:pan', 'lid:teapot', 'lid:kettle', 'lid:yoghurt', 'lid:chopper', 'seal', 'lid:pepper:container', 'lid:aeropress', 'lid:frying:pan', 'lid:cooker', 'lid:jar', 'lid:tub', 'lid:spice:container', 'lid:olive:jar', 'lid:jam:jar', 'lid:butter:box', 'lid:garlic:granule', 'lid:clip:top:jar', 'seal:clip:top:jar', 'lid:pepper:mill', 'lid:rice:cooker', 'lid:coffee:tin', 'lid:film', 'lid:hummus:tub', 'lid:coffee:machine', 'lid:plastic', 'lid:oil:container', 'lid:top:jar', 'lid:food:box', 'lid:mince', 'lid:salt:container', 'lid:food:bin', 'lid:butter', 'lid:jug', 'lid:water:jug', 'lid:sugar', 'lid:bin', 'lid:food:processor', 'lid:scotch:egg:box', 'lid:lemon:squeezer', 'lid:trash:bin', 'lid:container', 'lid:steamer', 'lid:salt', 'lid:blender', 'lid:sun:dried:tomato', 'stack:lid', 'lods', 'lid:glass', 'lid:processor', 'lid:curry', 'lid:oregano', 'lid:pepper', 'lid:olive:oil', 'lid:olive', 'cover:salt', 'cover:bottom', 'cupboard:salt']",containers
7,bowl,"['bowl', 'bowl:salad', 'bowl:glass', 'bowl:sugar', 'bowl:empty', 'bowl:cooker', 'bowl:washing', 'bowl:egg', 'bowl:processor', 'bowl:covered', 'bowl:scrub', 'bowl:plastic', 'bowl:large', 'bowl:washing:detergent', 'bowl:inside', 'bowl:cheese', 'bowl:raspberry', 'bowl:small', 'bowl:plate', 'bowl:several', 'bowl:corn', 'bowl:mushroom', 'bowl:dough', 'bowl:washing:up', 'content:bowl', 'bowl:lemon:zest', 'bowl:soup', 'bowl:garlic', 'bowl:food:processor', 'bowl:mozzarella', 'bowl:onion', 'bowl:little', 'bowl:rice:cooker', 'ramekin:coriander', 'ramekin', 'ramekin:peanut', 'stack:bowl', 'edge:bowl', 'side:bowl', 'ball:flour', 'bowl:cereal', 'top:bowl', 'side:ramekin', 'bowl:big', 'bowl:yoghurt', 'bowl:carrot', 'bowl:cherry', 'bowl:oatmeal', 'bowl:lettuce', 'bowl:second', 'bowl:meat', 'bowl:serving', 'bowl:saucepan', 'bowl:tomato', 'bowl:fruit', 'bowl:milk', 'pan:dish:washing', 'bucket:rice:cooker', 'underside:bowl', 'table:glass']",crockery
8,drawer,"['drawer', 'drawer:freezer', 'drawer:refrigerator', 'draw', 'drawer:spice', 'drawer:cutlery', 'drawer:vegetable', 'drawer:fridge', 'content:drawer', 'drawer:open', 'component:drawer', 'compartment', 'drawer:close', 'drawer:other']",furniture
9,sponge,"['sponge', 'scrubber', 'sponge:cleaning', 'bottom:sponge', 'pad:scouring', 'turn:sponge', 'scourer', 'wool:steel', 'sponge:water', 'sponge:new', 'sponge:soap', 'piece:sponge']",cleaning equipment and material
10,glass,"['glass', 'glass:wine', 'glass:empty', 'glass:pint', 'glass:water', 'glass:orange:juice', 'glass:shot', 'glass:wash', 'glass:other', 'glass:milk', 'glass:new', 'glass:blueberry', 'glass:fruit', 'measurer:rice']",crockery
