narration_id,narration,verb_class,noun_classes,verb,nouns
P01_01_0,open door,3,[3],open,['door']
P01_01_1,turn on light,6,[114],turn-on,['light']
P01_01_10,open drawer,3,[8],open,['drawer']
P01_01_100,take cup,0,[13],take,['cup']
P01_01_101,open cupboard,3,[3],open,['cupboard']
P01_01_102,put cup into cupboard,5,"[13, 3]",put-into,"['cup', 'cupboard']"
P01_01_103,take container and lid,0,"[21, 6]",take,"['container', 'lid']"
P01_01_104,put container on top of counter,1,"[21, 42]",put-on,"['container', 'top:counter']"
P01_01_105,open container,3,[21],open,['container']
P01_01_106,put container inside container,5,"[21, 21]",put-inside,"['container', 'container']"
P01_01_107,close lid,4,[6],close,['lid']
P01_01_108,put container in cupboard,5,"[21, 3]",put-in,"['container', 'cupboard']"
P01_01_109,take plate,0,[2],take,['plate']
P01_01_11,close fridge,4,[12],close,['fridge']
P01_01_110,put plate down,1,[2],put-down,['plate']
P01_01_112,take something,0,[8],take,['drawer']
P01_01_113,put down something,1,[8],put-down,['drawer']
P01_01_115,take fork,0,[14],take,['fork']
P01_01_116,put down fork,1,[14],put-down,['fork']
P01_01_117,take spatula,0,[20],take,['spatula']
P01_01_118,stir vegetables,10,[94],stir,['vegetable']
P01_01_12,put down vegetables,1,[94],put-down,['vegetable']
P01_01_120,take container,0,[21],take,['container']
P01_01_121,open fridge,3,[12],open,['fridge']
P01_01_122,put container into fridge,5,"[21, 12]",put-into,"['container', 'fridge']"
P01_01_126,take grater,0,[96],take,['grater']
P01_01_128,take carrots,0,[41],take,['carrot']
P01_01_129,cut carrots,7,[41],cut,['carrot']
P01_01_130,drop grater,59,[96],drop,['grater']
P01_01_131,grate carrots,77,[41],grate,['carrot']
P01_01_132,still grating carrots,77,[41],grate,['carrot']
P01_01_133,still grating carrot,77,[41],grate,['carrot']
P01_01_135,put down grater,1,[96],put-down,['grater']
P01_01_136,throw carrot into bin,13,"[41, 36]",throw-into,"['carrot', 'bin']"
P01_01_14,take cutting board,0,[18],take,['board:cutting']
P01_01_143,take saucepan,0,[5],take,['saucepan']
P01_01_144,put down saucepan,1,[5],put-down,['saucepan']
P01_01_145,turn hob,23,[24],turn,['hob']
P01_01_146,take kettle,0,[44],take,['kettle']
P01_01_147,pour water into saucepan,9,"[27, 5]",pour-into,"['water', 'saucepan']"
P01_01_148,see boiling water,38,[27],see,['water:boiling']
P01_01_149,put down kettle,1,[44],put-down,['kettle']
P01_01_15,put down cutting board,1,[18],put-down,['board:cutting']
P01_01_150,take olive oil,0,[31],take,['oil:olive']
P01_01_151,pour oil,9,[31],pour,['oil']
P01_01_152,close oil,4,[31],close,['oil']
P01_01_153,put down oil,1,[31],put-down,['oil']
P01_01_155,take cutting board with onion,0,"[18, 16]",take,"['board:cutting', 'onion']"
P01_01_156,pouring onion,9,[16],pour,['onion']
P01_01_159,still stirring vegetables,10,[94],stir,['vegetable']
P01_01_16,close cupboard,4,[3],close,['cupboard']
P01_01_160,take salt,0,[38],take,['salt']
P01_01_161,open salt,3,[38],open,['salt']
P01_01_162,put down salt,1,[38],put-down,['salt']
P01_01_164,take spoon,0,[1],take,['spoon']
P01_01_165,pour salt onto spoon,9,"[38, 1]",pour-onto,"['salt', 'spoon']"
P01_01_166,pour salt into water,9,"[38, 27]",pour-into,"['salt', 'water']"
P01_01_167,stir water,10,[27],stir,['water']
P01_01_168,close salt,4,[38],close,['salt']
P01_01_169,put down spoon,1,[1],put-down,['spoon']
P01_01_173,adjust hob,17,[24],adjust,['hob']
P01_01_177,put down spatula,1,[20],put-down,['spatula']
P01_01_18,take knife,0,[4],take,['knife']
P01_01_181,take rice,0,[55],take,['rice']
P01_01_182,open rice,3,[55],open,['rice']
P01_01_183,put down rice,1,[55],put-down,['rice']
P01_01_188,take tofu,0,[81],take,['tofu']
P01_01_190,cut tofu sleeve,7,[81],cut,['tofu']
P01_01_191,open tofu container,3,[21],open,['container:tofu']
P01_01_192,pour tofu onto pan,9,"[81, 5]",pour-onto,"['tofu', 'pan']"
P01_01_193,put down tofu container,1,[21],put-down,['container:tofu']
P01_01_194,stir vegetables and tofu,10,"[94, 81]",stir,"['vegetable', 'tofu']"
P01_01_196,take tofu container,0,[21],take,['container:tofu']
P01_01_197,throw something into the bin,13,[36],throw-into,['bin']
P01_01_199,throw tupperware container into the bin,13,"[23, 36]",throw-into,"['container:tupperware', 'bin']"
P01_01_2,close door,4,[3],close,['door']
P01_01_20,put down knife,1,[4],put-down,['knife']
P01_01_201,stir vegetables in tofu,10,"[94, 81]",stir,"['vegetable', 'tofu']"
P01_01_203,pour rice into water,9,"[55, 27]",pour-into,"['rice', 'water']"
P01_01_205,fold rice bag,28,[19],fold,['bag:rice']
P01_01_206,close rice bag,4,[19],close,['bag:rice']
P01_01_208,put rice into cupboard,5,"[55, 3]",put-into,"['rice', 'cupboard']"
P01_01_21,close drawer,4,[8],close,['drawer']
P01_01_211,take bottle,0,[15],take,['bottle']
P01_01_212,open top,3,[42],open,['top']
P01_01_213,pour water into bottle,9,"[27, 15]",pour-into,"['water', 'bottle']"
P01_01_214,close top,4,[42],close,['top']
P01_01_215,put bottle onto table,1,"[15, 42]",put-onto,"['bottle', 'table']"
P01_01_216,take cutlery,0,[58],take,['cutlery']
P01_01_218,put cutlery into cupboard,5,"[58, 3]",put-into,"['cutlery', 'cupboard']"
P01_01_222,adjust,17,[24],adjust,['hob']
P01_01_224,stir rice,10,[55],stir,['rice']
P01_01_227,take glass,0,[10],take,['glass']
P01_01_228,put down,1,[10],put-down,['glass']
P01_01_229,put down glass,1,[10],put-down,['glass']
P01_01_23,open tap,6,[0],turn-on,['tap']
P01_01_232,stir vegetables into a bowl,10,"[94, 7]",stir-into,"['vegetable', 'bowl']"
P01_01_236,take container out of container,12,"[21, 21]",take-out,"['container', 'container']"
P01_01_237,close container,4,[21],close,['container']
P01_01_238,put container back into cupboard,1,"[21, 3]",put,"['container', 'cupboard']"
P01_01_24,wash courgette,2,[76],wash,['courgette']
P01_01_242,still stirring vegetables and tofu,10,"[94, 81]",stir,"['vegetable', 'tofu']"
P01_01_247,waiting for rice to be cooked,72,[55],wait-for,['rice']
P01_01_25,still washing courgette,2,[76],wash,['courgette']
P01_01_252,scoop rice,16,[55],scoop,['rice']
P01_01_253,taste rice,35,[55],taste,['rice']
P01_01_256,take drainer,0,[110],take,['drainer']
P01_01_257,take glass and bottle,0,"[10, 15]",take,"['glass', 'bottle']"
P01_01_258,pour water onto glass,9,"[27, 10]",pour-onto,"['water', 'glass']"
P01_01_259,drink water,60,[27],drink,['water']
P01_01_26,wash carrot,2,[41],wash,['carrot']
P01_01_260,put down bottle,1,[15],put-down,['bottle']
P01_01_269,waiting for rice,72,[55],wait-for,['rice']
P01_01_27,still washing carrot,2,[41],wash,['carrot']
P01_01_270,still waiting for rice,72,[55],wait-for,['rice']
P01_01_275,turn off hob,8,[24],turn-off,['hob']
P01_01_277,drain saucepan,37,[5],drain,['saucepan']
P01_01_278,drain rice,37,[55],drain,['rice']
P01_01_279,pour rice onto pan,9,"[55, 5]",pour-onto,"['rice', 'pan']"
P01_01_28,close tap,8,[0],turn-off,['tap']
P01_01_280,put on drainer,1,[110],put-on,['drainer']
P01_01_283,put down drainer,1,[110],put-down,['drainer']
P01_01_286,stir vegetables rice and tofu,10,"[55, 81]",stir,"['rice:vegetable', 'tofu']"
P01_01_288,pour curry powder,9,[138],pour,['powder:curry']
P01_01_289,take curry powder,0,[138],take,['powder:curry']
P01_01_290,open curry powder,3,[138],open,['powder:curry']
P01_01_291,put down curry powder,1,[138],put-down,['powder:curry']
P01_01_294,still stirring rice,10,[55],stir,['rice']
P01_01_302,close curry powder,4,[138],close,['powder:curry']
P01_01_303,put curry powder down,1,[138],put-down,['powder:curry']
P01_01_306,pour rice into container,9,"[55, 21]",pour-into,"['rice', 'container']"
P01_01_311,put down container,1,[21],put-down,['container']
P01_01_314,put down plate,1,[2],put-down,['plate']
P01_01_316,pour rice onto plate,9,"[55, 2]",pour-onto,"['rice', 'plate']"
P01_01_32,take pan,0,[5],take,['pan']
